flight_id,arrival_time,departure_time,aircraft_type,flight_type,expected_passengers,historical_delay_minutes,taxi_distance_to_gate,taxi_distance_to_runway,fuel_burn_rate,assigned_gate,baseline_gate
FL016,2025-01-01 07:44,2025-01-01 09:33,Medium,Domestic,214,20,1361.93,1379.19,28.58,G01,G01
FL027,2025-01-01 08:12,2025-01-01 09:36,Large,Domestic,263,22,1388.37,1757.74,42.99,G05,G07
FL023,2025-01-01 10:08,2025-01-01 11:21,Large,Domestic,353,12,707.28,1072.59,42.9,G05,G06
FL028,2025-01-01 11:01,2025-01-01 12:04,Small,Domestic,61,1,470.57,1059.49,15.89,G03,G04
FL024,2025-01-01 11:22,2025-01-01 13:07,Small,Domestic,127,19,1548.35,1422.91,18.4,G01,G04
FL030,2025-01-01 11:38,2025-01-01 14:36,Medium,Domestic,177,17,1594.73,337.29,28.61,G01,G07
FL006,2025-01-01 12:40,2025-01-01 15:36,Small,Domestic,90,14,1465.75,1350.4,19.36,G03,G01
FL014,2025-01-01 12:51,2025-01-01 14:27,Small,International,123,16,1279.59,698.8,21.25,G04,G06
FL005,2025-01-01 13:23,2025-01-01 14:53,Medium,International,219,12,957.38,584.21,27.72,G02,G02
FL018,2025-01-01 13:29,2025-01-01 16:05,Small,Domestic,71,22,1595.17,1171.59,14.56,G08,G01
FL019,2025-01-01 13:31,2025-01-01 15:23,Small,International,92,16,415.82,1029.99,25.28,G07,G05
FL001,2025-01-01 13:47,2025-01-01 16:32,Medium,Domestic,129,12,431.85,1763.43,28.32,G01,G08
FL011,2025-01-01 13:49,2025-01-01 16:06,Small,Domestic,68,20,1397.46,1296.47,17.23,G05,G06
FL013,2025-01-01 14:55,2025-01-01 16:42,Small,Domestic,71,2,722.12,1245.42,13.78,G06,G07
FL012,2025-01-01 16:01,2025-01-01 17:00,Small,Domestic,66,15,1311.3,992.82,16.83,G03,G06
FL022,2025-01-01 17:03,2025-01-01 19:56,Medium,Domestic,227,6,352.38,1132.28,33.32,G05,G07
FL017,2025-01-01 17:19,2025-01-01 18:15,Medium,Domestic,203,14,358.26,1040.99,30.09,G01,G05
FL029,2025-01-01 18:11,2025-01-01 18:59,Small,International,110,15,1334.58,496.59,16.79,G04,G02
FL008,2025-01-01 18:17,2025-01-01 19:40,Medium,International,205,30,942.48,1153.11,27.31,G02,G07
FL002,2025-01-01 18:33,2025-01-01 20:28,Small,Domestic,85,22,1597.47,1265.8,20.82,G01,G04
FL015,2025-01-01 19:15,2025-01-01 20:38,Medium,Domestic,128,21,1563.64,983.66,23.68,G03,G05
FL010,2025-01-01 19:46,2025-01-01 22:48,Small,Domestic,75,9,871.94,1580.1,15.17,G06,G03
FL020,2025-01-01 20:05,2025-01-01 22:43,Medium,Domestic,149,12,764.2,1081.01,26.47,G03,G02
FL021,2025-01-01 20:52,2025-01-01 22:19,Large,Domestic,297,28,452.01,1308.36,42.87,G05,G08
FL004,2025-01-01 20:53,2025-01-01 23:24,Large,International,247,20,953.41,365.71,44.03,G04,G07
FL009,2025-01-01 21:23,2025-01-01 23:27,Medium,Domestic,128,22,1188.61,1130.37,29.78,G03,G06
FL003,2025-01-01 21:58,2025-01-01 22:51,Small,Domestic,120,26,1184.33,1437.13,16.3,G01,G04
FL007,2025-01-01 22:09,2025-01-01 23:34,Large,Domestic,253,13,495.65,599.86,43.17,G05,G07
FL026,2025-01-01 23:03,2025-01-02 00:21,Small,International,62,28,1463.56,529.93,17.04,G02,G05
FL025,2025-01-01 23:51,2025-01-02 00:39,Medium,Domestic,204,27,1226.33,860.49,29.07,G01,G04
